carrera,institucion,sede,direccion,web,nombre_pagina,enlace_ubicaciones
Diseño Industrial,IP DUOC UC,Sede San Carlos de Apoquindo,"Camino El Alba 12881, Las Condes, Santiago",http://www.duoc.cl/carrera/diseno-industrial,duoc.cl,"https://www.google.cl/maps/place/33%C2%B024'01.0%22S+70%C2%B030'19.2%22W/@-33.4002705,-70.5075167,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.400275!4d-70.505328"
Diseño Industrial,IP DUOC UC,Sede Plaza Oeste,"Av. Américo Vespucio 1501, Cerrillos, Santiago",http://www.duoc.cl/carrera/diseno-industrial,duoc.cl,"https://www.google.cl/maps/place/33%C2%B030'54.7%22S+70%C2%B043'06.4%22W/@-33.5151875,-70.7206237,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.515192!4d-70.718435"
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,Sede Valparaíso,"Brasil 2950, Valparaíso",http://www.pucv.cl/pucv/pregrado/diseno-industrial/2015-06-08/162247.html,pucv.cl,"https://www.google.cl/maps/place/33%C2%B002'39.9%22S+71%C2%B036'19.9%22W/@-33.0444025,-71.6077117,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.044407!4d-71.605523"
Diseño Industrial,UNIVERSIDAD DE CHILE,Campus Andrés Bello,"Portugal 84, Santiago, Santiago",http://www.uchile.cl/carreras/4929/diseno,uchile.cl,"https://www.google.cl/maps/place/33%C2%B026'32.2%22S+70%C2%B038'17.7%22W/@-33.4422812,-70.6404168,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-33.442268!4d-70.638239"
Diseño Industrial,UNIVERSIDAD TECNOLÓGICA METROPOLITANA,Campus Área Central,"Dieciocho 161, Santiago, Santiago",https://fhtcs.utem.cl/carreras-ingreso-psu/diseno-industrial/,fhtcs.utem.cl/,"https://www.google.cl/maps/place/33%C2%B026'54.7%22S+70%C2%B039'27.7%22W/@-33.4485125,-70.6598757,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.448517!4d-70.657687"
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,Campus Limarí,"Benavente 980, La Serena",http://www.userena.cl/boton-carreras/category/facultad-de-humanidades-2.html,userena.cl,"https://www.google.cl/maps/place/29%C2%B054'31.6%22S+71%C2%B014'47.8%22W/@-29.9087906,-71.2489927,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-29.908777!4d-71.246611"
Diseño Mención Industrial/Gráfico/Ambientes,UNIVERSIDAD MAYOR,Campus El Claustro,"Portugal 351, Santiago, Santiago",https://www.umayor.cl/um/carreras/diseno-santiago/10000,umayor.cl,"https://www.google.cl/maps/place/33%C2%B026'47.9%22S+70%C2%B038'08.7%22W/@-33.4466415,-70.6379367,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.446646!4d-70.635748"
Diseño Multimedia,UNIVERSIDAD DE TARAPACÁ,Sede Arica,"General Velásquez 1775, Arica",http://admision.uta.cl/diseno-multimedia/admision/2016-03-01/172441.html,admision.uta.cl,"https://www.google.cl/maps/@-18.4712034,-70.3122585,15z"
Diseño Teatral,UNIVERSIDAD DE CHILE,Campus Andrés Bello,"Morandé 750, Santiago, Santiago",http://www.uchile.cl/carreras/4940/diseno-teatral,uchile.cl,"https://www.google.cl/maps/place/33%C2%B026'06.0%22S+70%C2%B039'14.4%22W/@-33.4349875,-70.6561927,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.434992!4d-70.654004"
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACÍFICO,Sede Las Condes,"Av. Las Condes 11121, Las Condes, Santiago",http://www.upacifico.cl/carrera/diseno-de-vestuario-y-textiles#!/carrera/diseno-de-vestuario-y-textiles,upacifico.cl,"https://www.google.cl/maps/place/33%C2%B022'41.0%22S+70%C2%B031'39.4%22W/@-33.3780405,-70.5298097,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.378045!4d-70.527621"
Diseño Web & Mobile,CFT INACAP,INACAP Apoquindo,"Apoquindo Ote. 7282, Las Condes,  Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/carrera-diseno-y-programacion-multimedia,inacap.cl,"https://www.google.cl/maps/place/33%C2%B024'29.6%22S+70%C2%B033'12.2%22W/@-33.4082369,-70.5555655,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-33.408215!4d-70.553377"
Diseño y Producción Gráfica,CFT INACAP,INACAP Arica,"Santa María 2190, Arica",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/18%C2%B028'08.4%22S+70%C2%B018'10.0%22W/@-18.4691185,-70.3049725,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-18.468991!4d-70.302773"
Diseño y Producción Gráfica,CFT INACAP,INACAP Iquique,"Av. La Tirana 4310, Iquique",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/20%C2%B016'18.5%22S+70%C2%B007'32.2%22W/@-20.271794,-70.1278067,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-20.271799!4d-70.125618"
Diseño y Producción Gráfica,CFT INACAP,INACAP La Serena,"Francisco de Aguirre 389, La Serena",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/29%C2%B054'21.8%22S+71%C2%B016'02.4%22W/@-29.9060463,-71.2695207,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-29.906051!4d-71.267332"
Diseño y Producción Gráfica,CFT INACAP,INACAP Apoquindo,"Apoquindo Ote. 7282, Las Condes, Santiago",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/33%C2%B024'29.2%22S+70%C2%B033'12.0%22W/@-33.4081115,-70.5555227,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.408116!4d-70.553334"
Diseño y Producción Gráfica,CFT INACAP,INACAP Peréz Rosales,"Brown Nte 290, Ñuñoa, Santiago",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/33%C2%B027'08.5%22S+70%C2%B035'26.3%22W/@-33.4523535,-70.5928387,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.452358!4d-70.59065"
Diseño y Producción Gráfica,CFT INACAP,INACAP Puente Alto,"Av. Concha Y Toro 2618, Puente Alto, Región Metropolitana",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/33%C2%B035'08.8%22S+70%C2%B034'51.0%22W/@-33.5857705,-70.5830197,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.585775!4d-70.580831"
Diseño y Producción Gráfica,CFT INACAP,INACAP Curicó,"Juan Fernández 2010, Curicó",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/34%C2%B058'43.8%22S+71%C2%B012'39.2%22W/@-34.9788346,-71.2130737,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-34.978839!4d-71.210885"
Diseño y Producción Gráfica,CFT INACAP,INACAP Temuco,"Luis Durand 2150, Temuco",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/38%C2%B043'31.6%22S+72%C2%B037'51.4%22W/@-38.7254145,-72.6323472,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-38.725444!4d-72.630942"
Diseño y Producción Gráfica,CFT INACAP,INACAP Osorno,"Alcalde René Soriano Bórquez 2360, Osorno, ",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/40%C2%B034'52.3%22S+73%C2%B006'41.5%22W/@-40.5811919,-73.1137197,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-40.581196!4d-73.111531"
Diseño y Producción Gráfica,CFT INACAP,INACAP Punta Arenas,"Av Bulnes 4, Punta Arenas",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,inacap.cl,"https://www.google.cl/maps/place/53%C2%B007'52.9%22S+70%C2%B052'45.3%22W/@-53.1313648,-70.8814277,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-53.131368!4d-70.879239"
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,Sede Copiapó,"Río Copiapó Sur 2351, Copiapó",http://ipcft.santotomas.cl/carreras/tecnico-diseno-digital-publicitario/,ipcft.santotomas.cl,"https://www.google.cl/maps/place/27%C2%B020'35.0%22S+70%C2%B021'55.8%22W/@-27.3430542,-70.3676967,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-27.343059!4d-70.365508"
